ciudad_origen,ciudad_destino,horario_inicio,horario_final,dia_inicio,tipo,dia_final,duracion_viaje,precio
Úbeda,Linares,10:16:00,10:41:00,2024-10-28,tren,2024-10-28,25.0,10.57
Linares,Alcázar de San Juan,10:43:00,12:23:00,2024-10-28,tren,2024-10-28,100.0,27.97
Alcázar de San Juan,Madrid,12:24:00,13:44:00,2024-10-28,tren,2024-10-28,80.0,23.33
Almeria,Gádor,07:02:00,07:46:00,2024-11-01,tren,2024-11-01,44.0,14.98
Gádor,Fiñana,07:47:00,08:27:00,2024-11-01,tren,2024-11-01,40.0,14.05
Fiñana,Guadix,08:28:00,08:47:00,2024-11-01,tren,2024-11-01,19.0,9.18
Guadix,Morelábor,08:49:00,09:09:00,2024-11-01,tren,2024-11-01,20.0,9.41
Morelábor,Cabra del Santo Cristo,09:10:00,09:36:00,2024-11-01,tren,2024-11-01,26.0,10.8
Cabra del Santo Cristo,Úbeda,09:37:00,10:15:00,2024-11-01,tren,2024-11-01,38.0,13.59
Úbeda,Linares,10:16:00,10:41:00,2024-11-01,tren,2024-11-01,25.0,10.57
Linares,Alcázar de San Juan,10:43:00,12:23:00,2024-11-01,tren,2024-11-01,100.0,27.97
Alcázar de San Juan,Madrid,12:24:00,14:24:00,2024-11-01,tren,2024-11-01,120.0,32.62
Almeria,Gádor,07:02:00,07:46:00,2024-11-04,tren,2024-11-04,44.0,14.98
Gádor,Fiñana,07:47:00,08:27:00,2024-11-04,tren,2024-11-04,40.0,14.05
Fiñana,Guadix,08:28:00,08:47:00,2024-11-04,tren,2024-11-04,19.0,9.18
Guadix,Morelábor,08:49:00,09:09:00,2024-11-04,tren,2024-11-04,20.0,9.41
Morelábor,Cabra del Santo Cristo,09:10:00,09:36:00,2024-11-04,tren,2024-11-04,26.0,10.8
Cabra del Santo Cristo,Úbeda,09:37:00,10:15:00,2024-11-04,tren,2024-11-04,38.0,13.59
Úbeda,Linares,10:16:00,10:41:00,2024-11-04,tren,2024-11-04,25.0,10.57
Linares,Alcázar de San Juan,10:43:00,12:23:00,2024-11-04,tren,2024-11-04,100.0,27.97
Alcázar de San Juan,Madrid,12:24:00,13:44:00,2024-11-04,tren,2024-11-04,80.0,23.33
Almeria,Gádor,07:02:00,07:46:00,2024-12-08,tren,2024-12-08,44.0,14.98
Gádor,Fiñana,07:47:00,08:27:00,2024-12-08,tren,2024-12-08,40.0,14.05
Fiñana,Guadix,08:28:00,08:47:00,2024-12-08,tren,2024-12-08,19.0,9.18
Guadix,Morelábor,08:49:00,09:09:00,2024-12-08,tren,2024-12-08,20.0,9.41
Morelábor,Cabra del Santo Cristo,09:10:00,09:36:00,2024-12-08,tren,2024-12-08,26.0,10.8
Cabra del Santo Cristo,Úbeda,09:37:00,10:15:00,2024-12-08,tren,2024-12-08,38.0,13.59
Úbeda,Linares,10:16:00,10:41:00,2024-12-08,tren,2024-12-08,25.0,10.57
Linares,Alcázar de San Juan,10:43:00,12:23:00,2024-12-08,tren,2024-12-08,100.0,27.97
Alcázar de San Juan,Madrid,12:24:00,13:44:00,2024-12-08,tren,2024-12-08,80.0,23.33
Almeria,Guadix,15:30:00,17:16:00,2024-12-15,tren,2024-12-15,106.0,29.37
Guadix,Cabra del Santo Cristo,17:17:00,18:03:00,2024-12-15,tren,2024-12-15,46.0,15.44
Cabra del Santo Cristo,Úbeda,18:04:00,18:42:00,2024-12-15,tren,2024-12-15,38.0,13.59
Úbeda,Linares,18:43:00,19:08:00,2024-12-15,tren,2024-12-15,25.0,10.57
Linares,Vilches,19:10:00,19:25:00,2024-12-15,tren,2024-12-15,15.0,8.25
Vilches,Alcázar de San Juan,19:26:00,21:01:00,2024-12-15,tren,2024-12-15,95.0,26.81
Alcázar de San Juan,Madrid,21:02:00,22:26:00,2024-12-15,tren,2024-12-15,84.0,24.26
Miranda de Ebro,Plaza,16:25:00,17:47:00,2024-10-28,tren,2024-10-28,82.0,23.8
Plaza,Bilbao,17:48:00,18:15:00,2024-10-28,tren,2024-10-28,27.0,11.03
Miranda de Ebro,Plaza,16:25:00,17:47:00,2024-12-08,tren,2024-12-08,82.0,23.8
Plaza,Bilbao,17:48:00,18:15:00,2024-12-08,tren,2024-12-08,27.0,11.03
Miranda de Ebro,Plaza,16:25:00,17:47:00,2024-12-15,tren,2024-12-15,82.0,23.8
Plaza,Bilbao,17:48:00,18:15:00,2024-12-15,tren,2024-12-15,27.0,11.03
San Sebastián,Zumarraga,11:30:00,12:13:00,2024-10-28,tren,2024-10-28,43.0,14.75
Zumarraga,Altsasu/Alsasua,12:15:00,12:43:00,2024-10-28,tren,2024-10-28,28.0,11.27
Altsasu/Alsasua,Vitoria-Gasteiz,12:45:00,13:35:00,2024-10-28,tren,2024-10-28,50.0,16.37
San Sebastián,Zumarraga,11:30:00,12:13:00,2024-12-08,tren,2024-12-08,43.0,14.75
Zumarraga,Altsasu/Alsasua,12:15:00,12:43:00,2024-12-08,tren,2024-12-08,28.0,11.27
Altsasu/Alsasua,Vitoria-Gasteiz,12:45:00,13:35:00,2024-12-08,tren,2024-12-08,50.0,16.37
San Sebastián,Zumarraga,11:30:00,12:13:00,2024-12-15,tren,2024-12-15,43.0,14.75
Zumarraga,Altsasu/Alsasua,12:15:00,12:43:00,2024-12-15,tren,2024-12-15,28.0,11.27
Altsasu/Alsasua,Vitoria-Gasteiz,12:45:00,13:35:00,2024-12-15,tren,2024-12-15,50.0,16.37
Vitoria-Gasteiz,Altsasu/Alsasua,16:45:00,17:23:00,2024-10-28,tren,2024-10-28,38.0,13.59
Altsasu/Alsasua,Zumarraga,17:25:00,17:53:00,2024-10-28,tren,2024-10-28,28.0,11.27
Zumarraga,San Sebastián,17:55:00,18:50:00,2024-10-28,tren,2024-10-28,55.0,17.53
Vitoria-Gasteiz,Altsasu/Alsasua,16:45:00,17:23:00,2024-12-08,tren,2024-12-08,38.0,13.59
Altsasu/Alsasua,Zumarraga,17:25:00,17:53:00,2024-12-08,tren,2024-12-08,28.0,11.27
Zumarraga,San Sebastián,17:55:00,18:50:00,2024-12-08,tren,2024-12-08,55.0,17.53
Vitoria-Gasteiz,Altsasu/Alsasua,16:45:00,17:23:00,2024-12-15,tren,2024-12-15,38.0,13.59
Altsasu/Alsasua,Zumarraga,17:25:00,17:53:00,2024-12-15,tren,2024-12-15,28.0,11.27
Zumarraga,San Sebastián,17:55:00,18:50:00,2024-12-15,tren,2024-12-15,55.0,17.53
Bilbao,Plaza,12:15:00,12:42:00,2024-10-28,tren,2024-10-28,27.0,11.03
Plaza,Miranda de Ebro,12:43:00,13:58:00,2024-10-28,tren,2024-10-28,75.0,22.17
Bilbao,Plaza,12:15:00,12:42:00,2024-12-08,tren,2024-12-08,27.0,11.03
Plaza,Miranda de Ebro,12:43:00,13:58:00,2024-12-08,tren,2024-12-08,75.0,22.17
Bilbao,Plaza,12:15:00,12:42:00,2024-12-15,tren,2024-12-15,27.0,11.03
Plaza,Miranda de Ebro,12:43:00,13:58:00,2024-12-15,tren,2024-12-15,75.0,22.17
Vigo,Valença,08:58:00,09:35:00,2024-10-28,tren,2024-10-28,37.0,13.35
Valença,Viana do Castelo,09:36:00,10:08:00,2024-10-28,tren,2024-10-28,32.0,12.19
Viana do Castelo,Vila Nova de Famalicão,10:17:00,10:50:00,2024-10-28,tren,2024-10-28,33.0,12.43
Vila Nova de Famalicão,Porto,10:51:00,11:20:00,2024-10-28,tren,2024-10-28,29.0,11.5
Vigo,Valença,08:58:00,09:35:00,2024-12-15,tren,2024-12-15,37.0,13.35
Valença,Viana do Castelo,09:36:00,10:08:00,2024-12-15,tren,2024-12-15,32.0,12.19
Viana do Castelo,Vila Nova de Famalicão,10:17:00,10:50:00,2024-12-15,tren,2024-12-15,33.0,12.43
Vila Nova de Famalicão,Porto,10:51:00,11:20:00,2024-12-15,tren,2024-12-15,29.0,11.5
Vigo,Valença,08:58:00,09:35:00,2024-12-26,tren,2024-12-26,37.0,13.35
Valença,Viana do Castelo,09:36:00,10:08:00,2024-12-26,tren,2024-12-26,32.0,12.19
Viana do Castelo,Vila Nova de Famalicão,10:17:00,10:50:00,2024-12-26,tren,2024-12-26,33.0,12.43
Vila Nova de Famalicão,Porto,10:51:00,11:20:00,2024-12-26,tren,2024-12-26,29.0,11.5
Porto,Vila Nova de Famalicão,09:13:00,09:43:00,2024-10-28,tren,2024-10-28,30.0,11.73
Vila Nova de Famalicão,Viana do Castelo,09:43:00,10:15:00,2024-10-28,tren,2024-10-28,32.0,12.19
Viana do Castelo,Valença,10:17:00,10:50:00,2024-10-28,tren,2024-10-28,33.0,12.43
Valença,Vigo,10:56:00,11:35:00,2024-10-28,tren,2024-10-28,39.0,13.82
Porto,Vila Nova de Famalicão,09:13:00,09:43:00,2024-12-15,tren,2024-12-15,30.0,11.73
Vila Nova de Famalicão,Viana do Castelo,09:43:00,10:15:00,2024-12-15,tren,2024-12-15,32.0,12.19
Viana do Castelo,Valença,10:17:00,10:50:00,2024-12-15,tren,2024-12-15,33.0,12.43
Valença,Vigo,10:56:00,11:35:00,2024-12-15,tren,2024-12-15,39.0,13.82
Porto,Vila Nova de Famalicão,09:13:00,09:43:00,2024-12-26,tren,2024-12-26,30.0,11.73
Vila Nova de Famalicão,Viana do Castelo,09:43:00,10:15:00,2024-12-26,tren,2024-12-26,32.0,12.19
Viana do Castelo,Valença,10:17:00,10:50:00,2024-12-26,tren,2024-12-26,33.0,12.43
Valença,Vigo,10:56:00,11:35:00,2024-12-26,tren,2024-12-26,39.0,13.82
Vigo,Valença,19:56:00,20:32:00,2024-10-28,tren,2024-10-28,36.0,13.12
Valença,Viana do Castelo,20:33:00,21:07:00,2024-10-28,tren,2024-10-28,34.0,12.66
Viana do Castelo,Vila Nova de Famalicão,21:14:00,21:47:00,2024-10-28,tren,2024-10-28,33.0,12.43
Vila Nova de Famalicão,Porto,21:48:00,22:18:00,2024-10-28,tren,2024-10-28,30.0,11.73
Vigo,Valença,19:56:00,20:32:00,2024-12-15,tren,2024-12-15,36.0,13.12
Valença,Viana do Castelo,20:33:00,21:06:00,2024-12-15,tren,2024-12-15,33.0,12.43
Viana do Castelo,Vila Nova de Famalicão,21:14:00,21:47:00,2024-12-15,tren,2024-12-15,33.0,12.43
Vila Nova de Famalicão,Porto,21:48:00,22:18:00,2024-12-15,tren,2024-12-15,30.0,11.73
Vigo,Valença,19:56:00,20:32:00,2024-12-25,tren,2024-12-25,36.0,13.12
Valença,Viana do Castelo,20:33:00,21:06:00,2024-12-25,tren,2024-12-25,33.0,12.43
Viana do Castelo,Vila Nova de Famalicão,21:14:00,21:47:00,2024-12-25,tren,2024-12-25,33.0,12.43
