name,lat,lon,city,country
Estación de tren San Juan del Puerto,37.311898,-6.841076,San Juan del Puerto,España
Estación de tren Niebla,37.3587619,-6.6812578,Niebla,España
Estación de tren Escacena,37.397812,-6.39198,Escacena del Campo,España
Estación de tren Carrion de Los Cespedes,37.368955,-6.335088,Carrión de los Céspedes,España
Estación de tren Benacazon,37.3567611,-6.2082805,Benacazón,España
Estación de tren Villarrasa,37.386999,-6.598819,Villarrasa,España
Estación de tren Osuna,37.233899,-5.115026,Osuna,España
Estación de tren Arahal,37.268081,-5.548514,Arahal,España
Estación de tren Marchena,37.334282,-5.425519,Marchena,España
Estación de tren Jimena de La Frontera,36.4242,-5.434113,Los Ángeles,España
Estación de tren Gaucin,36.540372,-5.386825,Cortes de la Frontera,España
Estación de tren Jimera de Libar,36.660678,-5.281473,Jimera de Líbar,España
Estación de tren Benaojan-Montejaque,36.713753,-5.246366,Benaoján,España
Estación de tren Almargen-Canyete La Real,37.000985,-5.020111,Almargen,España
Estación de tren Campillos,37.032231,-4.863499,Campillos,España
Estación de tren Los Barrios,36.173998,-5.460801,Los Barrios,España
Estación de tren Almoraima,36.27751,-5.430529,Castellar de la Frontera,España
Estación de tren San Pablo,36.467952,-5.418921,San Pablo de Buceite,España
Estación de tren Arriate,36.7905949,-5.140757,Arriate,España
Estación de tren Setenil,36.863423,-5.121375,Setenil de las Bodegas,España
Estación de tren Jabugo-Galaroza,37.928243,-6.773908,Jabugo,España
Estación de tren Gibraleon,37.36852,-6.96207,Gibraleón,España
Estación de tren Calanyas,37.652007,-6.875841,Calañas,España
Estación de tren El Tamujoso,37.720339,-6.900554,El Cerro de Andévalo,España
Estación de tren Valdelamusa,37.787111,-6.873729,Cortegana,España
Estación de tren Almonaster-Cortegana,37.901174,-6.797372,Almonaster la Real,España
Estación de tren Zafra,38.413635,-6.405083,Zafra,España
Estación de tren Cumbres Mayores,38.053126,-6.631553,Cumbres Mayores,España
Estación de tren Fregenal de La Sierra,38.167613,-6.637909,Fregenal de la Sierra,España
Estación de tren El Chorro,36.907335,-4.759258,Álora,España
Estación de tren Cartama,36.7337555,-4.608232,Estación de Cártama,España
Estación de tren Aljaima,36.7331166,-4.6644194,Cártama,España
Estación de tren Pizarra,36.7640611,-4.7116694,Pizarra,España
Estación de tren Alora,36.819825,-4.6994424,El Puente,España
Estación de tren Gergal,37.108847,-2.591556,Gérgal,España
Estación de tren Benalua de Guadix,37.345277,-3.163177,Benalúa,España
Estación de tren Iznalloz,37.395852,-3.527947,Iznalloz,España
Estación de tren Huercal-Viator,36.885155,-2.436718,Huércal de Almería,España
Estación de tren Sant Vicent Centre,38.3972495,-0.5326435,Sant Vicent del Raspeig / San Vicente del Raspeig,España
Estación de tren Tortosa,40.807339,0.522937,Tortosa,España
Estación de tren Vila-Real,39.9330222,-0.0967722,Vila-real,España
Estación de tren Torreblanca,40.212211,0.198779,Torreblanca,España
Estación de tren Alcala de Xivert,40.30469,0.228717,Alcalà de Xivert,España
