stop_name,stop_lat,stop_lon,ciudad,país
Estación de tren Ulldecona -Alcanar-La Senia,40.595924,0.44927,Ulldecona,ES
Estación de tren Almassora/almazora,39.9548444,-0.0767722,Almazora/Almassora,ES
Estación de tren Burriana-Alquerias Ninyo Perdido,39.8964287,-0.1038666,Les Alqueries,ES
Estación de tren Nules-La Vilavella,39.8531222,-0.1527555,Nules,ES
Estación de tren Chilches,39.7825944,-0.1903333,Xilxes / Chilches,ES
Estación de tren Almenara,39.7487555,-0.2183805,Almenara,ES
Estación de tren Pucol,39.6171903,-0.3048578,Puçol,ES
Estación de tren El Puig,39.5882111,-0.3116472,el Puig de Santa Maria,ES
Estación de tren Albuixech,39.5433,-0.3205777,Albuixech,ES
Estación de tren Almansa,38.867822,-1.105446,Almansa,ES
Estación de tren Silla,39.3617388,-0.4149472,Silla,ES
Estación de tren Alcoy/alcoi,38.709349,-0.470247,Alcoi / Alcoy,ES
Estación de tren Genoves,38.98773,-0.47988,Genovés,ES
Estación de tren Beniganim,38.938499,-0.453424,Benigànim,ES
Estación de tren La Pobla del Duc,38.907606,-0.453386,la Pobla del Duc,ES
Estación de tren Montaverner,38.884135,-0.491619,Montaverner,ES
Estación de tren Bufali,38.867405,-0.510478,Bufali,ES
Estación de tren Albaida,38.845645,-0.518129,Albaida,ES
Estación de tren Agullent,38.830569,-0.551183,Agullent,ES
Estación de tren Ontinyent,38.809692,-0.602457,Ontinyent,ES
Estación de tren Agres,38.796829,-0.521744,Agres,ES
Estación de tren Cocentaina,38.740618,-0.446789,Cocentaina,ES
Estación de tren Alfafar-Benetusser,39.4223277,-0.3926,Alfafar,ES
Estación de tren Massanassa,39.4091638,-0.3953194,Massanassa,ES
Estación de tren Catarroja,39.3999611,-0.3991916,Catarroja,ES
Estación de tren Benifaio-Almussafes,39.2842194,-0.42995,Benifaió,ES
Estación de tren Algemesi,39.1931111,-0.4409083,Algemesí,ES
Estación de tren Alzira,39.1531194,-0.4506,Alzira,ES
Estación de tren Carcaixent,39.1204694,-0.4543833,Carcaixent,ES
Estación de tren La Pobla Llarga,39.083475,-0.4697027,La Pobla Llarga,ES
Estación de tren L.enova Manuel,39.0501935,-0.4778516,l'Énova,ES
Estación de tren Roca-Cuper,39.5261277,-0.3237777,Meliana,ES
Estación de tren La Llosa,39.7680118,-0.2030695,la Llosa,ES
